review_type,date,rating,content',postcode,lat,lng,user,gin
UserProfile.ADMIN,06/04/2016,3,I have given this 3 stars because it was only alright,FY1 6ES,53.80002697,-3.051157344,Catherine,Copperhead Gin
UserProfile.ADMIN,16/06/2016,1,Great Gin!,FK3 8BG,56.01848273,-3.723688447,Matt,Copperhead Gin
UserProfile.ADMIN,13/12/2016,5,"This is an excellent gin! I bought this as a gift for my husband, he loved it! ",BT92 4FQ,54.22254,-7.664155,Rozz,Copperhead Gin
UserProfile.BASIC,03/09/2016,1,I really wasn't impressed with this gin. For the price I was expecting a lot more to be honest. I would stick with Gordons.,S3 8DL,53.388289,-1.47511,Bob,Copperhead Gin
UserProfile.DISTILLERY_OWNER,08/10/2016,1,Great Gin!,EN2 8HG,51.66168722,-0.097976216,Charlie,Copperhead Gin
UserProfile.ADMIN,02/09/2016,2,I wasn't convinced this gin was nice enough for me to part with my money!! ,PL9 7FW,50.368806,-4.100866,Matt,Copperhead Black Batch
UserProfile.ADMIN,01/08/2016,3,"This is one of the most amazing gins I've ever had - the packaging, the taste.. Everything! It would make a really thoughtful gift for other ginthusiasts in your life!!",AL8 6DH,51.80141774,-0.208348836,Rozz,Copperhead Black Batch
UserProfile.EXPERT,23/03/2016,5,The tasting notes didn't accurately reflect the gin,DE21 7UA,52.91316343,-1.405608803,Alice,Copperhead Black Batch
UserProfile.BASIC,18/08/2016,1,This gin was very underwhelming… not great!!,CT1 2NE,51.276793,1.074617,Bob,Copperhead Black Batch
UserProfile.ADMIN,17/02/2017,5,I have given this 3 stars because it was only alright,EX5 7FB,50.75195087,-3.404339,Catherine,Copperhead Black Batch
UserProfile.ADMIN,27/07/2016,3,I wasn't convinced this gin was nice enough for me to part with my money!! ,S3 8DL,53.388289,-1.47511,Catherine,Greenall's London Dry Gin
UserProfile.ADMIN,20/12/2016,4,Great Gin!,M8 4WT,53.51995737,-2.243252763,Matt,Greenall's London Dry Gin
UserProfile.DISTILLERY_OWNER,16/12/2016,5,"This is an excellent gin! I bought this as a gift for my husband, he loved it! ",FY1 1HA,53.81793119,-3.055616,Charlie,Greenall's London Dry Gin
UserProfile.ADMIN,18/01/2017,1,Only alright,PH35 4AA,57.06962745,-4.795727,Rozz,Greenall's London Dry Gin
