review_type,date,rating,content,postcode,lat,lng,user,gin
UserProfile.EXPERT,06/04/2016,3,,FY1 6ES,53.80002697,-3.051157344,Catherine,Copperhead Gin
UserProfile.EXPERT,07/11/2016,1,,FK3 8BG,56.01848273,-3.723688447,Rozz,Copperhead Gin
UserProfile.BASIC,13/02/2016,4,,BT92 4FQ,54.22254,-7.664155,Charlie,Copperhead Gin
UserProfile.BASIC,06/02/2017,5,,S3 8DL,53.388289,-1.47511,Bob,Copperhead Gin
UserProfile.DISTILLERY_OWNER,11/07/2016,2,,EN2 8HG,51.66168722,-0.097976216,,Copperhead Gin
UserProfile.BASIC,24/02/2017,3,,PL9 7FW,50.368806,-4.100866,,Copperhead Black Batch
UserProfile.EXPERT,11/12/2016,4,,AL8 6DH,51.80141774,-0.208348836,Rozz,Copperhead Black Batch
UserProfile.EXPERT,31/05/2016,3,,DE21 7UA,52.91316343,-1.405608803,,Copperhead Black Batch
UserProfile.BASIC,12/05/2016,4,,CT1 2NE,51.276793,1.074617,,Copperhead Black Batch
UserProfile.ADMIN,10/02/2016,2,,EX5 7FB,50.75195087,-3.404339,,Copperhead Black Batch
UserProfile.BASIC,28/09/2016,2,,S3 8DL,53.388289,-1.47511,,Greenall's London Dry Gin
UserProfile.BASIC,06/03/2016,4,,M8 4WT,53.51995737,-2.243252763,,Greenall's London Dry Gin
UserProfile.DISTILLERY_OWNER,11/01/2017,2,,FY1 1HA,53.81793119,-3.055616,Charlie,Greenall's London Dry Gin
UserProfile.BASIC,14/10/2016,2,,PH35 4AA,57.06962745,-4.795727,,Greenall's London Dry Gin
UserProfile.BASIC,29/08/2016,5,,SE5 5GE,51.473914,-0.096725,,Greenall's London Dry Gin
UserProfile.EXPERT,11/04/2016,1,,PL9 7FW,50.368806,-4.100866,,Greenall's London Dry Gin
UserProfile.EXPERT,25/07/2016,5,,S63 6FU,53.50582578,-1.370636261,Robert,Greenall's Wild Berry London Dry Gin
UserProfile.BASIC,07/10/2016,1,,YO23 1PP,53.942553,-1.090043,,Greenall's Wild Berry London Dry Gin
UserProfile.EXPERT,04/05/2016,3,,GU28 8BG,50.986685,-0.608831,,Greenall's Wild Berry London Dry Gin
UserProfile.BASIC,27/12/2016,5,,EN2 8HG,51.66168722,-0.097976216,,Greenall's Wild Berry London Dry Gin
UserProfile.BASIC,14/09/2016,3,,PO13 8NF,50.80167928,-1.16810348,Rozz,Greenall's Wild Berry London Dry Gin
UserProfile.ADMIN,22/02/2016,2,,BT92 4DZ,54.183536,-7.649492,,Sharish Blue Magic Gin
UserProfile.BASIC,21/11/2016,4,,DN11 8HY,53.42345186,-1.069273926,,Sharish Blue Magic Gin
UserProfile.BASIC,06/09/2016,5,,PH35 4AA,57.06962745,-4.795727,Bob,Sharish Blue Magic Gin
UserProfile.ADMIN,13/04/2016,5,,M8 4WT,53.51995737,-2.243252763,,Sharish Blue Magic Gin
UserProfile.BASIC,25/02/2017,1,,YO23 1PP,53.942553,-1.090043,Alice,Sharish Blue Magic Gin
UserProfile.BASIC,15/03/2016,4,,NG18 9JB,53.15468125,-1.187118805,,Tanqueray London Dry 
UserProfile.EXPERT,03/02/2016,5,,CA10 1XX,54.62573479,-2.555756,,Tanqueray London Dry 
UserProfile.BASIC,07/09/2016,2,,EX5 7FB,50.75195087,-3.404339,,Tanqueray London Dry 
